feroxbuster -u http://surveillance.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://surveillance.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
503      GET        7l       14w      206c http://surveillance.htb/css/.mysql_history
503      GET        7l       14w      206c http://surveillance.htb/css/_
503      GET        7l       14w      206c http://surveillance.htb/css/.svn/entries
503      GET        7l       14w      206c http://surveillance.htb/bak-up
503      GET        7l       14w      206c http://surveillance.htb/balances
503      GET        7l       14w      206c http://surveillance.htb/ban
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/bebdd9df/picturefill.js
503      GET        7l       14w      206c http://surveillance.htb/css/.bash_history
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_bin/shtml.dll
503      GET        7l       14w      206c http://surveillance.htb/css/.history
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/deaf38df/jquery-ui.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/36829225/axios.js
503      GET        7l       14w      206c http://surveillance.htb/css/.hta
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/images/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/bf6704d6/css/login.css
503      GET        7l       14w      206c http://surveillance.htb/admin/text/
503      GET        7l       14w      206c http://surveillance.htb/css/~test
503      GET        7l       14w      206c http://surveillance.htb/css/~guest
503      GET        7l       14w      206c http://surveillance.htb/css/_vti_cnf
503      GET        7l       14w      206c http://surveillance.htb/css/.forward
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/877101b6/velocity.js
503      GET        7l       14w      206c http://surveillance.htb/css/_res
503      GET        7l       14w      206c http://surveillance.htb/css/_reports
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/images/icons/favicon.ico
503      GET        7l       14w      206c http://surveillance.htb/css/.listing
503      GET        7l       14w      206c http://surveillance.htb/css/.passwd
503      GET        7l       14w      206c http://surveillance.htb/css/.git/HEAD
503      GET        7l       14w      206c http://surveillance.htb/css/.rhosts
503      GET        7l       14w      206c http://surveillance.htb/css/.sh_history
503      GET        7l       14w      206c http://surveillance.htb/css/.profile
503      GET        7l       14w      206c http://surveillance.htb/balance
503      GET        7l       14w      206c http://surveillance.htb/css/.bashrc
503      GET        7l       14w      206c http://surveillance.htb/bandwidth
503      GET        7l       14w      206c http://surveillance.htb/css/
