feroxbuster -u http://192.168.56.122:8080 -w /usr/share/wordlists/dirb/common.txt -t 200 -r --scan-dir-listings
                                                                                                                                                                          
 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://192.168.56.122:8080
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 📂  Scan Dir Listings     │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
200      GET      241l     1739w    20009c http://192.168.56.122:8080/docs/config/cluster-manager.html
200      GET      478l     2923w    31752c http://192.168.56.122:8080/docs/config/manager.html
200      GET      174l     1277w    14611c http://192.168.56.122:8080/docs/config/cluster.html
200      GET      278l     1614w    18224c http://192.168.56.122:8080/docs/config/resources.html
200      GET      762l     4977w    50267c http://192.168.56.122:8080/docs/config/ajp.html
200      GET     1020l     6651w    66180c http://192.168.56.122:8080/docs/config/realm.html
200      GET      111l      941w    10840c http://192.168.56.122:8080/docs/proxy-howto.html
200      GET     2126l    12294w   130027c http://192.168.56.122:8080/docs/config/valve.html
200      GET      607l     3433w    40683c http://192.168.56.122:8080/docs/config/listeners.html
200      GET      239l     1744w    18202c http://192.168.56.122:8080/docs/config/http2.html
200      GET       34l      158w     1150c http://192.168.56.122:8080/docs/servletapi/index.html
200      GET      449l     1963w    21219c http://192.168.56.122:8080/docs/windows-service-howto.html
200      GET      110l      664w    10076c http://192.168.56.122:8080/docs/virtual-hosting-howto.html
200      GET       55l      526w     7009c http://192.168.56.122:8080/docs/aio.html
200      GET      673l     4317w    40825c http://192.168.56.122:8080/docs/ssl-howto.html
200      GET      236l     1240w    13699c http://192.168.56.122:8080/docs/building.html
200      GET       52l      362w     6322c http://192.168.56.122:8080/docs/mbeans-descriptors-howto.html
200      GET       19l      306w     5526c http://192.168.56.122:8080/docs/balancer-howto.html
200      GET      145l      799w    10976c http://192.168.56.122:8080/docs/cdi.html
200      GET      209l     1077w    14245c http://192.168.56.122:8080/docs/host-manager-howto.html
200      GET      468l     2475w    27765c http://192.168.56.122:8080/docs/security-manager-howto.html
200      GET     1024l     5209w    52028c http://192.168.56.122:8080/docs/jndi-resources-howto.html
200      GET      303l     1921w    20750c http://192.168.56.122:8080/docs/windows-auth-howto.html
200      GET      286l     1481w    17940c http://192.168.56.122:8080/docs/default-servlet.html
200      GET       34l      158w     1145c http://192.168.56.122:8080/docs/elapi/index.html
200      GET      754l     3463w    36910c http://192.168.56.122:8080/docs/rewrite.html
200      GET       44l      490w     6611c http://192.168.56.122:8080/docs/connectors.html
200      GET       27l      313w     6067c http://192.168.56.122:8080/docs/maven-jars.html
200      GET      395l     2128w    23581c http://192.168.56.122:8080/docs/logging.html
200      GET     1118l     2982w    38272c http://192.168.56.122:8080/docs/monitoring.html
200      GET       32l      149w     1268c http://192.168.56.122:8080/examples/websocket/index.xhtml
200      GET       65l      521w     6833c http://192.168.56.122:8080/docs/config/
200      GET       45l      292w     3891c http://192.168.56.122:8080/docs/appdev/
200      GET      250l     1720w    17815c http://192.168.56.122:8080/docs/class-loader-howto.html
200      GET      115l      897w    11308c http://192.168.56.122:8080/docs/web-socket-howto.html
200      GET      191l     1133w    14907c http://192.168.56.122:8080/docs/
200      GET       30l      141w     1126c http://192.168.56.122:8080/examples/
200      GET       34l      159w     1157c http://192.168.56.122:8080/docs/annotationapi/
200      GET       34l      158w     1146c http://192.168.56.122:8080/docs/jspapi/
200      GET       34l      158w     1149c http://192.168.56.122:8080/docs/jaspicapi/
200      GET      198l      490w    11136c http://192.168.56.122:8080/
200      GET       34l      158w     1145c http://192.168.56.122:8080/docs/elapi/
200      GET       34l      158w     1150c http://192.168.56.122:8080/docs/servletapi/
200      GET       42l      201w     2787c http://192.168.56.122:8080/docs/architecture/startup.html
200      GET      104l      575w     5936c http://192.168.56.122:8080/docs/architecture/overview.html
200      GET       43l      207w     2832c http://192.168.56.122:8080/docs/architecture/requestProcess.html
200      GET       35l      194w     2900c http://192.168.56.122:8080/docs/architecture/
200      GET       33l      166w     1450c http://192.168.56.122:8080/examples/jsp/jsp2/simpletag/hello.html
200      GET       32l      149w     1221c http://192.168.56.122:8080/examples/jsp/jsp2/jspx/textRotate.html
200      GET       31l      155w     1420c http://192.168.56.122:8080/examples/jsp/jsp2/el/composite.html
200      GET       34l      157w     1398c http://192.168.56.122:8080/examples/jsp/colors/clr.html
200      GET       36l      150w     1214c http://192.168.56.122:8080/examples/jsp/tagplugin/if.html
200      GET       46l      277w     2033c http://192.168.56.122:8080/examples/jsp/jsp2/jspx/svgexample.html
200      GET       30l      150w     1292c http://192.168.56.122:8080/examples/jsp/simpletag/foo.html
200      GET       37l      165w     1545c http://192.168.56.122:8080/examples/jsp/jsp2/jspattribute/jspattribute.html
200      GET       32l      156w     1422c http://192.168.56.122:8080/examples/jsp/jsp2/el/functions.html
200      GET       36l      150w     1229c http://192.168.56.122:8080/examples/jsp/tagplugin/foreach.html
200      GET       38l      162w     1245c http://192.168.56.122:8080/examples/jsp/checkbox/check.html
200      GET       33l      157w     1389c http://192.168.56.122:8080/examples/jsp/jsp2/tagfiles/panel.html
200      GET       42l      150w     7342c http://192.168.56.122:8080/docs/appdev/sample/sample.war
200      GET       55l      284w     2212c http://192.168.56.122:8080/docs/appdev/sample/
200      GET       36l      164w     1341c http://192.168.56.122:8080/examples/jsp/jsptoserv/jts.html
200      GET       36l      150w     1226c http://192.168.56.122:8080/examples/jsp/tagplugin/choose.html
200      GET       31l      148w     1287c http://192.168.56.122:8080/examples/jsp/error/er.html
200      GET       34l      157w     1388c http://192.168.56.122:8080/examples/jsp/sessions/crt.html
200      GET       33l      164w     1438c http://192.168.56.122:8080/examples/jsp/jsp2/simpletag/repeat.html
200      GET       53l      182w     1375c http://192.168.56.122:8080/examples/jsp/sessions/carts.html
200      GET       47l      228w     1528c http://192.168.56.122:8080/examples/jsp/colors/colors.html
200      GET       37l      181w     1641c http://192.168.56.122:8080/examples/jsp/jsp2/simpletag/book.html
200      GET       30l      148w     1293c http://192.168.56.122:8080/examples/jsp/forward/fwd.html
200      GET       30l      148w     1293c http://192.168.56.122:8080/examples/jsp/include/inc.html
200      GET       34l      157w     1398c http://192.168.56.122:8080/examples/jsp/checkbox/cresult.html
200      GET       31l      146w     1191c http://192.168.56.122:8080/examples/jsp/jsp2/jspx/basic.html
200      GET       34l      158w     1152c http://192.168.56.122:8080/docs/websocketapi/
404      GET        1l       61w      682c http://192.168.56.122:8080/META-INF
200      GET       37l      165w     1536c http://192.168.56.122:8080/examples/jsp/jsp2/jspattribute/shuffle.html
200      GET       35l      165w     1495c http://192.168.56.122:8080/examples/jsp/jsp2/misc/config.html
200      GET       33l      157w     1436c http://192.168.56.122:8080/examples/jsp/jsp2/misc/dynamicattrs.html
200      GET       43l      174w     1654c http://192.168.56.122:8080/examples/jsp/cal/calendar.html
200      GET       34l      159w     1388c http://192.168.56.122:8080/examples/jsp/num/numguess.html
200      GET       30l      148w     1290c http://192.168.56.122:8080/examples/jsp/plugin/plugin.html
