feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
502      GET        7l       11w      157c http://metapress.htb/hello-world/
502      GET        7l       11w      157c http://metapress.htb/category/news/academics
502      GET        7l       11w      157c http://metapress.htb/category/news/access
502      GET        7l       11w      157c http://metapress.htb/autodeploy
502      GET        7l       11w      157c http://metapress.htb/autobackup
502      GET        7l       11w      157c http://metapress.htb/category/news/access.1
502      GET        7l       11w      157c http://metapress.htb/category/news/0/
502      GET        7l       11w      157c http://metapress.htb/category/news/accountsettings
502      GET        7l       11w      157c http://metapress.htb/category/news/accounting
502      GET        7l       11w      157c http://metapress.htb/category/news/action
502      GET        7l       11w      157c http://metapress.htb/category/news/actions
404      GET        0l        0w        0c http://metapress.htb/addfav
404      GET        0l        0w        0c http://metapress.htb/addnews
200      GET        3l     1298w    89496c http://metapress.htb/wp-includes/js/jquery/jquery.min.js
404      GET        0l        0w        0c http://metapress.htb/adlogger
404      GET        0l        0w        0c http://metapress.htb/adm
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-content/themes/twentytwentyone/assets/css/print.css
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-includes/js/wp-embed.min.js
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-includes/css/dist/block-library/theme.min.css
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-content/themes/twentytwentyone/style.css
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-includes/css/dist/block-library/style.min.css
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-content/themes/twentytwentyone/assets/js/primary-navigation.js
404      GET        7l       11w      153c http://metapress.htb/category/news/xmlrpc.php
404      GET        7l       11w      153c http://metapress.htb/category/news/wp-content/themes/twentytwentyone/assets/js/polyfills.js
404      GET        0l        0w        0c http://metapress.htb/admin_interface
404      GET        0l        0w        0c Auto-filtering found 404-like response and created new filter; toggle off with --dont-filter
404      GET        7l       11w      153c http://metapress.htb/category/news/admin.php
502      GET        7l       11w      157c http://metapress.htb/category/news/adm
502      GET        7l       11w      157c http://metapress.htb/category/news/ADMIN
502      GET        7l       11w      157c http://metapress.htb/award
502      GET        7l       11w      157c http://metapress.htb/category/news/ADM
502      GET        7l       11w      157c http://metapress.htb/avatars
502      GET        7l       11w      157c http://metapress.htb/category/news/admin_login
200      GET       97l      429w     6931c http://metapress.htb/wp-login.php
200      GET        2l      182w     5486c http://metapress.htb/wp-admin/css/login.min.css
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_mygallery
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_vti_script
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_mm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~log
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_vti_log
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~http
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_themes
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_vti_cnf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~sysadm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_net
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/1999
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_pages
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~apache
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/2001
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_vti_inf
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_reports
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~amanda
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~adm
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/_private
502      GET        7l       11w      157c http://metapress.htb/wp-includes/js/~bin
